DATE_TEMPS,ID_SIT_CRS,ID_TEMPS,NOM_SYMBOL,VALEUR_COURS,IND_STOCH_RSI,IND_RSI,IND_TRIX,DEC_ACHAT,DEC_VENTE,wallet,resultat,resultat%,tradeIs
2020-01-12 08:59:59,17703,1578815999999,ETHUSDT,144.54,0.4536934588606986,36.821192052979995,-0.05630337025453167,0.0,1.0,3609.066702496706,14.462920549659884,0.40235089670510593,Good
2020-01-17 05:59:59,17820,1579237199999,ETHUSDT,166.66,1.0,68.55932203389808,0.10670419188144808,0.0,1.0,3631.0317342973376,24.49137849237877,0.6790823358723275,Good
2020-01-20 17:59:59,17904,1579539599999,ETHUSDT,166.88,1.0,56.947162426614426,0.12417372666760218,0.0,1.0,3681.0959212021808,52.60590911885174,1.4498016790363888,Good
2020-01-24 19:59:59,18002,1579892399999,ETHUSDT,161.77,0.8724802105972767,62.664714494875525,0.12647952273961188,0.0,1.0,3537.5222589016626,-140.99689515567616,-3.8329797739440674,Bad
2020-01-26 13:59:59,18044,1580043599999,ETHUSDT,163.54,1.0,67.78425655976686,0.056388159808846386,0.0,1.0,3623.866119385272,88.82012606484068,2.5125592773805216,Good
2020-01-30 17:59:59,18144,1580403599999,ETHUSDT,177.73,1.0,73.43205574912875,0.07642265039983115,0.0,1.0,3767.828607949339,146.49919484763632,4.0454534270650155,Good
2020-02-01 02:59:59,18177,1580522399999,ETHUSDT,183.76,1.0,58.74083129584352,-0.013750434768496012,0.0,1.0,3773.6447855152583,8.453657591483989,0.22452134046500039,Good
2020-02-01 21:59:59,18196,1580590799999,ETHUSDT,183.4,0.8877142488735486,56.07305936073064,0.01167763768623016,0.0,1.0,3837.8380261591055,66.83479199370822,1.7723345179920136,Good
2020-02-06 13:59:59,18308,1580993999999,ETHUSDT,214.97,1.0,80.33273915626867,-0.01906859847612885,0.0,1.0,4361.383889288332,526.2323497475377,13.721292218104807,Good
2020-02-11 19:59:59,18433,1581447599999,ETHUSDT,236.48,1.0,90.04037685060575,0.2536034838421765,0.0,1.0,4589.121933022059,230.7910124562295,5.295399010827451,Good
2020-02-14 11:59:59,18497,1581677999999,ETHUSDT,270.31,1.0,58.53444493198766,-0.029103222359737665,0.0,1.0,4652.230734906339,66.32118723739586,1.4461948398242441,Good
2020-02-16 03:59:59,18537,1581821999999,ETHUSDT,273.48,0.8032703418402765,38.62484921592283,-0.2066455726313619,0.0,1.0,4635.888038821282,-13.086134570622562,-0.28148434649347687,Bad
2020-02-16 23:59:59,18557,1581893999999,ETHUSDT,255.33,0.7991567891848651,32.53950589806368,-0.20650752182935084,0.0,1.0,4502.779776564468,-129.86314062963993,-2.803219305931204,Bad
