open,high,low,close,volume,EMA200,TRIX,TRIX_PCT,TRIX_SIGNAL,TRIX_HISTO,STOCH_RSI
1282.13,1286.33,1281.84,1283.79,5080.71790000,,1283.8221769730767,-0.023084310341470182,,,1.0
1283.79,1284.03,1280.14,1281.01,7893.01810000,,1283.5520470551535,-0.02104106960981733,,,0.594650849839844
1281.01,1282.26,1278.33,1279.7,4033.93670000,,1283.292659875553,-0.02020854395391458,,,0.4251180377339513
1279.71,1282.43,1278.26,1281.65,3692.79260000,,1283.0526079656481,-0.018705936487484198,,,0.7711618422773524
1281.65,1284.0,1280.81,1283.66,3799.26140000,,1282.852280248732,-0.015613367345368445,,,1.0
1283.67,1285.08,1282.83,1283.83,4497.46900000,,1282.700947159196,-0.011796610713965539,,,1.0
1283.82,1283.83,1281.52,1281.52,3974.87280000,,1282.5809903829163,-0.009351889584652273,,,0.6848761653798257
1281.53,1283.98,1281.43,1282.57,7384.61930000,,1282.489485860694,-0.00713440499340301,,,0.843169471378429
1282.57,1282.72,1279.76,1280.37,4370.04530000,,1282.4051094759745,-0.006579109275339778,,,0.5600433850807682
1280.37,1281.69,1277.58,1280.62,5974.34870000,,1282.3188769658595,-0.00672427998592573,,,0.6004649587366264
1280.61,1281.31,1277.99,1279.65,2891.16440000,,1282.2193112848672,-0.007764502479123969,-0.01776428354972445,0.00999978107060048,0.3497764737376055
1279.66,1281.45,1279.46,1281.41,2695.59840000,,1282.1167993609297,-0.00799488223546252,-0.017114948887954538,0.009120066652492018,0.7154762227360367
1281.41,1283.0,1280.76,1282.94,7172.02470000,,1282.0300258058064,-0.006767991431555487,-0.016416612054020212,0.009648620622464726,1.0
1282.94,1287.73,1282.83,1286.56,8980.82990000,,1281.9965745388026,-0.002609242087192598,-0.015573741891165374,0.012964499803972776,1.0
1286.56,1288.69,1284.37,1286.2,6470.93560000,,1282.0275306187737,0.002414677276507682,-0.014501179510311475,0.01691585678681916,0.9465988343768829
1286.21,1290.36,1285.92,1289.52,4336.81890000,,1282.1481835831287,0.009411105570933387,-0.013059793417592922,0.02247089898852631,1.0
1289.53,1289.53,1286.74,1288.44,3399.24180000,,1282.3525479753305,0.0159392178547213,-0.011304201238759859,0.027243419093481158,0.8612682517200863
1288.44,1291.43,1285.95,1286.95,4869.84970000,,1282.6152983379982,0.020489713463156534,-0.009236961832867088,0.029726675296023623,0.6777860402736572
1286.96,1289.09,1285.82,1286.56,2226.45170000,,1282.912173893123,0.023146110568728062,-0.0069563433399181624,0.030102453908646225,0.6303395611970352
1286.57,1299.9,1282.01,1285.04,21301.24060000,,1283.212669097908,0.02342289759968974,-0.004588718027053766,0.028011615626743508,0.44866765678214227
1285.05,1285.11,1269.49,1279.05,26701.43850000,,1283.450464709238,0.018531270541255473,-0.0024771975071277838,0.021008468048383258,0.0
1279.05,1281.79,1274.37,1278.33,6853.34150000,,1283.590463667467,0.010908014144561662,-0.0008585153887453153,0.011766529533306976,0.0
1278.33,1278.36,1271.0,1272.23,7793.23250000,,1283.5749471383124,-0.001208837989519207,8.587659317364309e-05,-0.0012947145826928501,0.0
1272.23,1278.23,1271.7,1275.25,7010.54610000,,1283.4148208215433,-0.012475026653180343,0.0004541393217800354,-0.01292916597496038,0.2111839379578059
1275.24,1283.24,1275.11,1279.96,7271.95010000,,1283.169668863887,-0.01910153706183859,0.00043530119919173095,-0.019536838261030323,0.48415864054648405
1279.96,1284.8,1265.35,1267.5,15130.58490000,,1282.7811222307819,-0.03028022268084518,-0.0002631204834500184,-0.030017102197395163,0.07485348214370074
1267.51,1269.4,1262.77,1267.36,15600.95160000,,1282.2361973958434,-0.042479954334750936,-0.0017242320844397991,-0.040755722250311134,0.07135684315677764
1267.35,1270.94,1264.02,1268.91,5962.94830000,,1281.5612695252332,-0.052636781895643026,-0.003785417432582216,-0.048851364463060806,0.15300782841415878
1268.92,1272.09,1268.13,1271.54,3940.93700000,,1280.8098024427006,-0.058636844012227574,-0.006237914528716719,-0.05239892948351085,0.28640281862856093
1271.54,1273.16,1268.72,1268.75,4944.00610000,,1280.0008214407057,-0.06316168102805664,-0.008932322707417522,-0.05422935832063912,0.21874971831234305
1268.75,1270.6,1265.52,1269.08,4888.66470000,,1279.1591607646278,-0.0657546981204793,-0.01174329499953912,-0.054011403120940174,0.27411087781302723
1269.09,1274.08,1268.9,1273.72,4092.82700000,,1278.3447875196146,-0.06366473148864404,-0.014405210666659124,-0.04925952082198492,0.5881099603298149
1273.72,1274.62,1271.68,1272.46,2418.71090000,,1277.5820019566308,-0.05966978317827332,-0.0168659202353644,-0.042803862942908916,0.6240388878598934
1272.46,1272.7,1268.65,1270.44,2301.69800000,,1276.8678229697434,-0.05590083343328667,-0.01920557937830398,-0.03669525405498269,0.6711991482030658
1270.45,1274.91,1268.85,1273.93,2735.30120000,,1276.2293025806957,-0.05000677263231612,-0.02146260464235748,-0.02854416798995864,1.0
1273.92,1275.93,1272.98,1273.57,2689.60840000,,1275.6746510935575,-0.043460174908749316,-0.023647121413084005,-0.01981305349566531,0.9702391335837349
1273.56,1275.73,1272.51,1274.84,1793.54240000,,1275.2139470301106,-0.03611454245421308,-0.025815009414281456,-0.010299533039931627,1.0
1274.83,1278.69,1274.83,1277.85,3739.17270000,,1274.8703456939515,-0.026944603057332817,-0.027857096124379272,0.0009124930670464555,1.0
